Country,Year,Production,Exports,Domestic_consumption,Gross_opening_stocks,Imports,Re_exports,Price_retail,Consumption,Coffee_type,Price_grower,Country_code,Latitude,Longitude,Exports (tonnes),Domestic Consumption (tonnes),Production (tonnes),Price to Grower ($)
Uganda,2007,3489.648,2693.187,180.25,280.151,,,,,Other Milds,65.0071,UG,1.373333,32.290275,161591.22,10815.0,209378.88,0.650071
Uganda,2007,3489.648,2693.187,180.25,280.151,,,,,Robustas,55.8766,UG,1.373333,32.290275,161591.22,10815.0,209378.88,0.558766
Venezuela,2007,1520.4505,70.3796585,1582.33,15.0,,,,,Other Milds,,VE,6.42375,-66.58973,4222.77951,94939.79999999999,91227.03,
Viet Nam,2007,16405.0988,17936.2186134,938.0,833.0,,,,,Brazilan Naturals,,,,,1076173.116804,56280.0,984305.928,
Viet Nam,2007,16405.0988,17936.2186134,938.0,833.0,,,,,Robustas,71.1417,,,,1076173.116804,56280.0,984305.928,0.711417
Angola,2008,37.61,6.105,30.0,140.0,,,,,Brazilan Naturals,,AO,-11.202692,17.873887,366.3,1800.0,2256.6,
Angola,2008,37.61,6.105,30.0,140.0,,,,,Robustas,42.3165,AO,-11.202692,17.873887,366.3,1800.0,2256.6,0.42316499999999996
Bolivia (Plurinational State of),2008,120.4186,68.1538912,45.0,0.0,,,,,Other Milds,,,,,4089.2334720000003,2700.0,7225.116,
Brazil,2008,51490.5177,29510.2956935,17660.0,12227.0,,,,,Brazilan Naturals,109.2581,BR,-14.235004,-51.92528,1770617.74161,1059600.0,3089431.062,1.092581
Brazil,2008,51490.5177,29510.2956935,17660.0,12227.0,,,,,Robustas,91.5772,BR,-14.235004,-51.92528,1770617.74161,1059600.0,3089431.062,0.915772
Burundi,2008,411.7822,250.6982333,1.435,5.15,,,,,Other Milds,86.1923,BI,-3.3730559999999996,29.918885999999997,15041.893998,86.10000000000001,24706.932,0.861923
Burundi,2008,411.7822,250.6982333,1.435,5.15,,,,,Robustas,,BI,-3.3730559999999996,29.918885999999997,15041.893998,86.10000000000001,24706.932,
Ecuador,2008,770.6473,868.4560753,150.0,6.2,,,,,Other Milds,145.036,EC,-1.831239,-78.183406,52107.364517999995,9000.0,46238.837999999996,1.45036
Ecuador,2008,770.6473,868.4560753,150.0,6.2,,,,,Robustas,79.2587,EC,-1.831239,-78.183406,52107.364517999995,9000.0,46238.837999999996,0.792587
Indonesia,2008,9612.3466,5740.6730453,3333.0,56.0,,,,,Brazilan Naturals,,ID,-0.789275,113.921327,344440.382718,199980.0,576740.7960000001,
Indonesia,2008,9612.3466,5740.6730453,3333.0,56.0,,,,,Robustas,,ID,-0.789275,113.921327,344440.382718,199980.0,576740.7960000001,
Madagascar,2008,727.6884,196.1874116,467.0,0.0,,,,,Other Milds,,MG,-18.766947,46.869107,11771.244696,28020.0,43661.304000000004,
Madagascar,2008,727.6884,196.1874116,467.0,0.0,,,,,Robustas,,MG,-18.766947,46.869107,11771.244696,28020.0,43661.304000000004,
Malawi,2008,20.753,20.554,1.0,0.0,,,,,Other Milds,76.2341,MW,-13.254307999999998,34.301525,1233.24,60.0,1245.18,0.7623409999999999
Papua New Guinea,2008,1027.6529,1095.9213703,2.0,76.0,,,,,Other Milds,111.7771,PG,-6.314993,143.95555,65755.28221800001,120.0,61659.174,1.117771
Papua New Guinea,2008,1027.6529,1095.9213703,2.0,76.0,,,,,Robustas,34.8969,PG,-6.314993,143.95555,65755.28221800001,120.0,61659.174,0.34896900000000003
Peru,2008,3872.262,3732.567,250.0,201.0,,,,,Other Milds,92.3921,PE,-9.189967,-75.015152,223954.02,15000.0,232335.72,0.923921
Rwanda,2008,368.7282,326.0684598,1.0,17.0,,,,,Other Milds,,RW,-1.940278,29.873888,19564.107588000003,60.0,22123.692000000003,
Zimbabwe,2008,24.2492,23.1005954,4.0,0.0,,,,,Other Milds,,ZW,-19.015438,29.154857,1386.035724,240.0,1454.952,
Congo,2008,3.0,0.0,3.0,0.0,,,,,Robustas,,,,,0.0,180.0,180.0,
Cuba,2008,133.4523,3.85,220.0,12.0,,,,,Other Milds,70.7141,CU,21.521757,-77.78116700000001,231.0,13200.0,8007.138000000001,0.707141
Dominican Republic,2008,645.0295,81.6146814,378.0,52.0,,,,,Other Milds,101.4508,DO,18.735693,-70.162651,4896.880884,22680.0,38701.77,1.014508
Haiti,2008,358.6822,17.2008609,340.0,0.0,,,,,Other Milds,,HT,18.971187,-72.28521500000001,1032.0516539999999,20400.0,21520.932,
Philippines,2008,586.8337,4.3929507,1720.0,0.0,,,,,Brazilan Naturals,95.5242,PH,12.879721,121.774017,263.577042,103200.0,35210.022000000004,0.9552419999999999
Philippines,2008,586.8337,4.3929507,1720.0,0.0,,,,,Robustas,88.332,PH,12.879721,121.774017,263.577042,103200.0,35210.022000000004,0.8833199999999999
Tanzania,2008,1186.2823,817.9361667,47.0,13.2166,,,,,Colombian Milds,63.3829,TZ,-6.369028,34.888822,49076.170002,2820.0,71176.93800000001,0.633829
Tanzania,2008,1186.2823,817.9361667,47.0,13.2166,,,,,Robustas,35.3223,TZ,-6.369028,34.888822,49076.170002,2820.0,71176.93800000001,0.353223
Zambia,2008,34.6967,48.4856667,1.0,0.0,,,,,Other Milds,126.7021,ZM,-13.133897,27.849332,2909.140002,60.0,2081.802,1.267021
